camp,site,taxon,count
BA,BA2_SS2,Copris laeviceps,1
BA,BA2_SS2,Copris lugubris,0
BA,BA2_SS2,Copris nubilosus,0
BA,BA2_SS2,Copris sp.nov.,0
BA,BA2_SS2,Dichotomius annae,1
BA,BA2_SS2,Dichotomius satanas,11
BA,BA2_SS2,Eurysternus foedus,0
BA,BA2_SS2,Eurysternus magnus,22
BA,BA2_SS2,Eurysternus mexicanus,0
BA,BA2_SS2,Eurysternus obliteratus,0
BA,BA2_SS2,Onthophagus aff. anthracinus,0
BA,BA2_SS2,Onthophagus aff. belhorinus,0
BA,BA2_SS2,Onthophagus breviconus,0
BA,BA2_SS2,Onthophagus cyanellus,0
BA,BA2_SS2,Onthophagus longimanus,0
BA,BA2_SS2,Onthophagus petenensis,0
BA,BA2_SS2,Onthophagus rhinolophus,0
BA,BA2_SS2,Onthophagus sp.nov. aff. subcancer,0
BA,BA2_SS2,Phanaeus endymion,0
BA,BA2_SS3,Copris laeviceps,1
BA,BA2_SS3,Copris lugubris,0
BA,BA2_SS3,Copris nubilosus,0
BA,BA2_SS3,Copris sp.nov.,0
BA,BA2_SS3,Dichotomius annae,2
BA,BA2_SS3,Dichotomius satanas,12
BA,BA2_SS3,Eurysternus foedus,0
BA,BA2_SS3,Eurysternus magnus,25
BA,BA2_SS3,Eurysternus mexicanus,0
BA,BA2_SS3,Eurysternus obliteratus,0
BA,BA2_SS3,Onthophagus aff. anthracinus,1
BA,BA2_SS3,Onthophagus aff. belhorinus,0
BA,BA2_SS3,Onthophagus breviconus,0
BA,BA2_SS3,Onthophagus cyanellus,0
BA,BA2_SS3,Onthophagus longimanus,0
BA,BA2_SS3,Onthophagus petenensis,0
BA,BA2_SS3,Onthophagus rhinolophus,0
BA,BA2_SS3,Onthophagus sp.nov. aff. subcancer,0
BA,BA2_SS3,Phanaeus endymion,1
BA,BA2_SS5,Copris laeviceps,1
BA,BA2_SS5,Copris lugubris,0
BA,BA2_SS5,Copris nubilosus,1
BA,BA2_SS5,Copris sp.nov.,0
BA,BA2_SS5,Dichotomius annae,0
BA,BA2_SS5,Dichotomius satanas,36
BA,BA2_SS5,Eurysternus foedus,0
BA,BA2_SS5,Eurysternus magnus,20
BA,BA2_SS5,Eurysternus mexicanus,1
BA,BA2_SS5,Eurysternus obliteratus,0
BA,BA2_SS5,Onthophagus aff. anthracinus,0
BA,BA2_SS5,Onthophagus aff. belhorinus,0
BA,BA2_SS5,Onthophagus breviconus,0
BA,BA2_SS5,Onthophagus cyanellus,1
BA,BA2_SS5,Onthophagus longimanus,0
BA,BA2_SS5,Onthophagus petenensis,0
BA,BA2_SS5,Onthophagus rhinolophus,0
BA,BA2_SS5,Onthophagus sp.nov. aff. subcancer,0
BA,BA2_SS5,Phanaeus endymion,1
BA,BA2_SS6,Copris laeviceps,5
BA,BA2_SS6,Copris lugubris,0
BA,BA2_SS6,Copris nubilosus,0
BA,BA2_SS6,Copris sp.nov.,0
BA,BA2_SS6,Dichotomius annae,0
BA,BA2_SS6,Dichotomius satanas,20
BA,BA2_SS6,Eurysternus foedus,0
BA,BA2_SS6,Eurysternus magnus,17
BA,BA2_SS6,Eurysternus mexicanus,0
BA,BA2_SS6,Eurysternus obliteratus,0
BA,BA2_SS6,Onthophagus aff. anthracinus,1
BA,BA2_SS6,Onthophagus aff. belhorinus,0
BA,BA2_SS6,Onthophagus breviconus,0
BA,BA2_SS6,Onthophagus cyanellus,0
BA,BA2_SS6,Onthophagus longimanus,0
BA,BA2_SS6,Onthophagus petenensis,0
BA,BA2_SS6,Onthophagus rhinolophus,0
BA,BA2_SS6,Onthophagus sp.nov. aff. subcancer,0
BA,BA2_SS6,Phanaeus endymion,1
BA,BA3_SS1,Copris laeviceps,0
BA,BA3_SS1,Copris lugubris,0
BA,BA3_SS1,Copris nubilosus,0
BA,BA3_SS1,Copris sp.nov.,0
BA,BA3_SS1,Dichotomius annae,0
BA,BA3_SS1,Dichotomius satanas,14
BA,BA3_SS1,Eurysternus foedus,0
BA,BA3_SS1,Eurysternus magnus,13
BA,BA3_SS1,Eurysternus mexicanus,0
BA,BA3_SS1,Eurysternus obliteratus,0
BA,BA3_SS1,Onthophagus aff. anthracinus,1
BA,BA3_SS1,Onthophagus aff. belhorinus,0
BA,BA3_SS1,Onthophagus breviconus,0
BA,BA3_SS1,Onthophagus cyanellus,2
BA,BA3_SS1,Onthophagus longimanus,1
BA,BA3_SS1,Onthophagus petenensis,0
BA,BA3_SS1,Onthophagus rhinolophus,0
BA,BA3_SS1,Onthophagus sp.nov. aff. subcancer,0
BA,BA3_SS1,Phanaeus endymion,0
BA,BA3_SS2,Copris laeviceps,0
BA,BA3_SS2,Copris lugubris,0
BA,BA3_SS2,Copris nubilosus,1
